naId,recordGroup,level,status,exemptions,securityClassification,note,coverageStart,coverageEnd,title
7553662,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-2-61, 5 Oct 61, The Soviet Atomic Energy Program"
1183056,263,series,Restricted - Partly,FOIA (b)(1) National Security,Secret,"Most documents have been declassified, but some are still classified and unavailable for research. Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,National Intelligence Surveys
7542614,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIM 78-10024, 14 Nov 78, Sino-Soviet Competition in Indochina"
7553709,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIM 82-10003, 7 Apr 82, Moscow and the Namibia Peace Process"
5956134,263,series,Restricted - Fully,Other,Top Secret,"Per the Central Intelligence Agency (CIA) Information Act of 1984, these records are exempted from search, review, publication, or disclosure under the Freedom of Information Act (FOIA). They are also exempted from Mandatory Declassification Review (MDR) requests under Section 3.5(a)(2) of Executive Order 13526.",,,Lincoln Station Air Operations Files
7542537,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"54) NIE 11-13-82, 13 Oct 82, Soviet Ballistic Missile Defense"
7542232,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"57) NIE 11-3A-54, 16 Feb 54, The Soviet Atomic Energy Program to Mid-1957"
7542541,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"58) NIE 11/20-6-84, 25 Oct 84, Warsaw Pact Nonnuclear Threat to NATO Airbases in Central Europe"
7542616,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-12-80, 31 Jul 80, Prospects for Soviet Military Technology and R&D (Research and Development)"
7553457,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"42) NIE 20-1-69, 4 Dec 69, Europe, the US and the USSR"
1374508,263,fileUnit,Restricted - Partly,,,"Many documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,"Klymkiw, Wladimir"
7553352,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"118) SNIE 11-9A-59, 8 Sept 59, Probable Soviet Position on Nuclear Weapons Testing"
7553612,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"11) NIE 11-6-64, 26 Aug 64, Soviet Capabilities and Intentions with Respect to Biological Warfare"
7553728,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-3/8-87W, Jul 87, Soviet Forces and Capabilities for Strategic Nuclear Conflict Through the Late 1990s"
7579630,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"MFR re: Lunch with Hoover, Ladd, DeLoach, Smith, Dulles, Wyman, and Kirk; 11/7/51"
7553584,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"42) NIE 11-10-71, 15 Dec 71, The Uses of Soviet Military Power in Distant Areas"
7553589,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"47) NIE 4-1-78, 10 Apr 78, Warsaw Pact Concepts and Capabilities for Going to War in Europe: Implications for NATO Warning of War"
7542246,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"71) SNIE 100-3-55, 25 Jan 55, Communist Reactions to Certain Possible US Courses of Action with Respect to the Islands Off the Coast of China"
7542313,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"11) SNIE 10-4-65, 19 Mar 65, Probable Communist Reactions to Deployment of an ROK Combat Division for Base Security Duty in South Vietnam"
7553410,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"49) SNIE 3-11/2-82, 21 Sept 82, The Soviet Gas Pipeline in Perspective"
7553710,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-7-83, 14 Dec 83, Soviet Energy Prospects Into the 1990s"
7579537,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to Kirk from Dulles re: Letter Sent by B. Waterbury, 5/7/64"
